AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,TimeInShelterDays,AgeInDays,TimeInShelterDays_log
Dog,Cairn Terrier Mix,Buff/White,Intact Male,Stray,Normal,8,730,2.1972245773362196
Dog,Labrador Retriever Mix,Black/White,Neutered Male,Owner Surrender,Normal,112,1460,4.727387818712341
Cat,Domestic Medium Hair Mix,Black,Intact Female,Stray,Normal,47,28,3.871201010907891
Dog,Labrador Retriever Mix,Brown,Intact Male,Stray,Normal,6,365,1.9459101490553132
Dog,Pointer/Beagle,White/Brown,Intact Female,Stray,Injured,68,2190,4.23410650459726
Dog,Pointer/Beagle,White/Brown,Intact Female,Stray,Injured,84,2190,4.442651256490317
Dog,American Staffordshire Terrier Mix,Blue/White,Spayed Female,Owner Surrender,Normal,177,1460,5.181783550292085
Cat,Domestic Shorthair Mix,Black/White,Intact Male,Stray,Normal,6,30,1.9459101490553132
Dog,German Shepherd Mix,Black/Brown,Intact Male,Stray,Normal,4,120,1.6094379124341003
Dog,Dachshund Mix,Tricolor,Spayed Female,Stray,Normal,4,1825,1.6094379124341003
Dog,German Shepherd Mix,Tricolor,Intact Female,Owner Surrender,Normal,4,730,1.6094379124341003
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,15,30,2.772588722239781
Cat,Russian Blue,Blue,Intact Female,Stray,Normal,44,28,3.8066624897703196
Dog,Papillon Mix,White,Spayed Female,Owner Surrender,Normal,1,365,0.6931471805599453
Cat,Domestic Shorthair Mix,Brown Tabby/White,Neutered Male,Owner Surrender,Normal,16,2920,2.833213344056216
Cat,Domestic Shorthair Mix,Black/White,Intact Male,Owner Surrender,Normal,1,60,0.6931471805599453
Dog,German Shepherd Mix,Black/Tan,Intact Female,Owner Surrender,Normal,87,2190,4.477336814478207
Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,6,60,1.9459101490553132
Dog,Labrador Retriever/Border Collie,Black/White,Intact Female,Stray,Normal,6,180,1.9459101490553132
Cat,Domestic Shorthair Mix,Black/White,Neutered Male,Stray,Normal,148,30,5.003946305945459
Dog,Toy Fox Terrier Mix,White/Black,Intact Female,Stray,Normal,9,1095,2.302585092994046
Cat,Domestic Shorthair,Brown Tabby,Intact Male,Stray,Nursing,59,28,4.0943445622221
Dog,Dachshund/Chihuahua Shorthair,White/Tan,Intact Male,Owner Surrender,Normal,14,1095,2.70805020110221
Cat,Domestic Shorthair Mix,Blue Tabby,Intact Female,Stray,Normal,133,21,4.897839799950911
Cat,Domestic Medium Hair Mix,Blue/White,Intact Male,Owner Surrender,Normal,50,365,3.9318256327243257
Cat,Domestic Shorthair Mix,Lynx Point,Intact Female,Stray,Normal,61,14,4.127134385045092
Dog,Labrador Retriever Mix,White/Brown,Intact Male,Stray,Normal,4,60,1.6094379124341003
Dog,Labrador Retriever Mix,Brown/White,Intact Female,Stray,Normal,36,30,3.6109179126442243
Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Normal,31,30,3.4657359027997265
Dog,Australian Cattle Dog,Blue Merle,Intact Male,Stray,Normal,7,730,2.0794415416798357
Dog,Chihuahua Shorthair Mix,Brown Brindle,Intact Male,Owner Surrender,Normal,2,365,1.0986122886681098
Dog,Labrador Retriever Mix,Black/White,Spayed Female,Owner Surrender,Normal,7,730,2.0794415416798357
Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,Stray,Normal,105,60,4.663439094112067
Dog,Pit Bull Mix,Brown/White,Spayed Female,Stray,Normal,40,730,3.713572066704308
Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,Stray,Normal,30,30,3.4339872044851463
Dog,Rottweiler/German Shepherd,Black/Tan,Spayed Female,Stray,Normal,18,1825,2.9444389791664403
Dog,Australian Shepherd Mix,Red/White,Neutered Male,Owner Surrender,Normal,18,730,2.9444389791664403
Dog,Australian Shepherd Mix,Red/White,Neutered Male,Owner Surrender,Normal,2,730,1.0986122886681098
Dog,Australian Shepherd Mix,Red/White,Neutered Male,Owner Surrender,Normal,8,730,2.1972245773362196
Cat,Domestic Shorthair Mix,Brown Tabby,Spayed Female,Stray,Injured,45,365,3.828641396489095
Dog,Chihuahua Shorthair Mix,Red/White,Intact Female,Stray,Normal,9,365,2.302585092994046
Cat,Domestic Shorthair Mix,Black,Intact Female,Public Assist,Sick,28,150,3.367295829986474
Dog,Pit Bull Mix,White/Brown Brindle,Intact Female,Stray,Normal,51,90,3.9512437185814275
Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,48,30,3.8918202981106265
Dog,Basenji/Australian Cattle Dog,Red/White,Neutered Male,Stray,Normal,10,330,2.3978952727983707
Dog,Shih Tzu/Chihuahua Shorthair,White/Black,Intact Male,Stray,Normal,39,240,3.6888794541139363
Dog,Shih Tzu/Chihuahua Shorthair,White/Black,Intact Male,Stray,Normal,16,240,2.833213344056216
Dog,Miniature Schnauzer/Yorkshire Terrier,Black/Brown,Intact Female,Stray,Normal,42,365,3.7612001156935624
Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,43,30,3.784189633918261
Dog,American Bulldog Mix,White/Tan,Intact Male,Stray,Normal,120,730,4.795790545596741
Cat,Domestic Shorthair,Black/White,Intact Female,Stray,Nursing,39,28,3.6888794541139363
Dog,Rat Terrier Mix,Black/White,Intact Female,Stray,Normal,15,730,2.772588722239781
Dog,German Shepherd Mix,Black/Tan,Spayed Female,Owner Surrender,Normal,4,2190,1.6094379124341003
Dog,Labrador Retriever/Pointer,White/Black,Intact Male,Stray,Normal,4,240,1.6094379124341003
Cat,Domestic Shorthair,Calico/White,Intact Female,Owner Surrender,Normal,13,365,2.6390573296152584
Cat,Domestic Shorthair Mix,Black,Spayed Female,Stray,Normal,83,730,4.430816798843313
Dog,Beagle Mix,Tricolor,Spayed Female,Public Assist,Aged,274,2920,5.616771097666572
Cat,Domestic Shorthair,Black,Neutered Male,Stray,Normal,36,90,3.6109179126442243
Dog,Smooth Fox Terrier,Black Brindle/White,Intact Male,Stray,Normal,5,365,1.791759469228055
Dog,Pit Bull Mix,Red/White,Intact Male,Stray,Normal,6,210,1.9459101490553132
Cat,Domestic Shorthair Mix,Blue/White,Intact Male,Stray,Normal,9,30,2.302585092994046
Dog,Labrador Retriever Mix,Black/Black,Intact Female,Stray,Normal,70,730,4.2626798770413155
Cat,Domestic Shorthair Mix,Blue/White,Intact Female,Stray,Normal,4,180,1.6094379124341003
Cat,Domestic Shorthair Mix,Cream Tabby,Intact Male,Stray,Normal,3,30,1.3862943611198906
Dog,Border Collie Mix,Black/White,Intact Male,Stray,Normal,6,60,1.9459101490553132
Cat,Siamese Mix,Lynx Point,Intact Female,Stray,Normal,84,21,4.442651256490317
Cat,Domestic Shorthair Mix,Black,Intact Female,Owner Surrender,Normal,2,60,1.0986122886681098
Other,Cinnamon,Gray,Intact Female,Owner Surrender,Normal,31,240,3.4657359027997265
Cat,Domestic Shorthair Mix,Black/White,Intact Male,Stray,Normal,26,30,3.295836866004329
Dog,Rhod Ridgeback/Labrador Retriever,Red/Black,Intact Male,Stray,Normal,4,150,1.6094379124341003
Dog,Labrador Retriever Mix,Brown/White,Intact Female,Owner Surrender,Nursing,34,21,3.5553480614894135
Dog,Labrador Retriever Mix,Brown/White,Neutered Male,Owner Surrender,Normal,15,365,2.772588722239781
Dog,Queensland Heeler Mix,Buff,Intact Male,Stray,Normal,72,0,4.290459441148391
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,57,30,4.060443010546419
Cat,Domestic Shorthair Mix,Orange Tabby,Intact Female,Stray,Normal,164,30,5.10594547390058
Cat,Domestic Shorthair Mix,Orange Tabby,Intact Female,Stray,Normal,24,30,3.2188758248682006
Dog,Labrador Retriever Mix,Black,Intact Female,Public Assist,Normal,4,60,1.6094379124341003
Cat,Domestic Shorthair Mix,Calico,Intact Female,Stray,Normal,138,60,4.9344739331306915
Dog,Golden Retriever Mix,Red,Intact Male,Stray,Normal,32,150,3.4965075614664802
Dog,Border Collie Mix,White/Black,Intact Male,Stray,Normal,4,30,1.6094379124341003
Dog,Mastiff/Rottweiler,Red/White,Intact Male,Stray,Normal,4,120,1.6094379124341003
Cat,Manx Mix,Black/White,Intact Male,Stray,Normal,4,90,1.6094379124341003
Dog,Border Collie Mix,Black/White,Intact Male,Stray,Normal,148,210,5.003946305945459
Dog,Border Collie Mix,Black/White,Intact Male,Stray,Normal,96,210,4.574710978503383
Dog,Pit Bull Mix,Chocolate,Intact Male,Stray,Normal,183,730,5.214935757608986
Dog,Dachshund Wirehair/Border Terrier,Brown,Intact Male,Stray,Normal,4,60,1.6094379124341003
Cat,Domestic Shorthair,Blue Tabby,Intact Male,Stray,Normal,26,30,3.295836866004329
Cat,Domestic Shorthair Mix,Tortie,Intact Female,Owner Surrender,Normal,30,730,3.4339872044851463
Dog,Labrador Retriever Mix,White/Tan,Spayed Female,Public Assist,Normal,47,1825,3.871201010907891
Cat,Domestic Medium Hair Mix,Brown Tabby/White,Intact Female,Stray,Normal,7,60,2.0794415416798357
Dog,Labrador Retriever Mix,Black/White,Intact Female,Stray,Normal,4,30,1.6094379124341003
Cat,Domestic Shorthair Mix,Brown Tabby,Spayed Female,Owner Surrender,Normal,224,1460,5.41610040220442
Dog,Labrador Retriever Mix,Black,Spayed Female,Stray,Normal,58,3285,4.07753744390572
Dog,Chihuahua Shorthair Mix,Tan,Intact Female,Stray,Normal,6,1460,1.9459101490553132
Dog,Labrador Retriever Mix,White,Intact Male,Stray,Normal,6,365,1.9459101490553132
Dog,Labrador Retriever/German Shepherd,Brown/White,Intact Female,Stray,Normal,6,365,1.9459101490553132
Cat,Domestic Medium Hair Mix,Orange Tabby,Intact Male,Stray,Normal,5,30,1.791759469228055
Cat,Domestic Shorthair Mix,Black Tabby,Intact Male,Stray,Normal,27,30,3.332204510175204
Cat,Domestic Shorthair,White/Black,Intact Female,Stray,Normal,80,21,4.394449154672439
Dog,Australian Cattle Dog/Rhod Ridgeback,Tan/Black,Intact Female,Stray,Normal,6,365,1.9459101490553132
Cat,Domestic Shorthair Mix,Tortie,Intact Female,Owner Surrender,Normal,24,30,3.2188758248682006
Cat,Domestic Shorthair Mix,Black Smoke,Intact Female,Stray,Normal,8,30,2.1972245773362196
Dog,Labrador Retriever Mix,Black/White,Spayed Female,Stray,Normal,21,1825,3.091042453358316
Dog,Chihuahua Shorthair/Dachshund,Black/Brown,Intact Female,Stray,Normal,5,365,1.791759469228055
Dog,Border Collie Mix,Gold/White,Intact Male,Stray,Normal,7,365,2.0794415416798357
Dog,Cairn Terrier,Cream/Brown,Intact Male,Stray,Normal,5,730,1.791759469228055
Cat,Domestic Shorthair,Brown Tabby,Intact Male,Stray,Injured,50,60,3.9318256327243257
Cat,Domestic Shorthair,Brown Tabby,Intact Male,Stray,Injured,217,60,5.384495062789089
Dog,Siberian Husky Mix,Gray/White,Neutered Male,Stray,Normal,6,730,1.9459101490553132
Dog,Pit Bull Mix,White/Brown,Intact Male,Stray,Normal,30,365,3.4339872044851463
Dog,Norfolk Terrier Mix,Tan/White,Neutered Male,Owner Surrender,Normal,1,300,0.6931471805599453
Dog,Italian Greyhound Mix,Brown/White,Spayed Female,Owner Surrender,Normal,1,730,0.6931471805599453
Dog,Australian Cattle Dog,Red Tick,Intact Male,Stray,Normal,5,90,1.791759469228055
Dog,Catahoula Mix,Tan/White,Neutered Male,Owner Surrender,Normal,5,365,1.791759469228055
Dog,Labrador Retriever Mix,Black/White,Intact Female,Stray,Normal,3,30,1.3862943611198906
Dog,Labrador Retriever Mix,Black,Neutered Male,Stray,Normal,5,730,1.791759469228055
Dog,Labrador Retriever Mix,Black,Neutered Male,Stray,Normal,164,730,5.10594547390058
Dog,Dachshund/Cardigan Welsh Corgi,White/Tan,Intact Male,Stray,Normal,4,30,1.6094379124341003
Dog,Catahoula Mix,Tricolor/White,Spayed Female,Owner Surrender,Normal,9,2190,2.302585092994046
Dog,Cardigan Welsh Corgi Mix,Yellow,Intact Female,Stray,Normal,7,365,2.0794415416798357
Cat,Domestic Shorthair Mix,White/Black,Spayed Female,Owner Surrender,Normal,6,2555,1.9459101490553132
Dog,Australian Cattle Dog,White/Black,Spayed Female,Owner Surrender,Normal,30,4015,3.4339872044851463
Dog,Australian Cattle Dog,White/Black,Spayed Female,Owner Surrender,Normal,45,4015,3.828641396489095
Dog,Australian Cattle Dog,White/Black,Spayed Female,Owner Surrender,Normal,23,4015,3.1780538303479458
Cat,Domestic Shorthair Mix,Black Smoke/White,Spayed Female,Stray,Normal,42,270,3.7612001156935624
Dog,Pit Bull,Brown Brindle,Intact Female,Stray,Normal,4,60,1.6094379124341003
Cat,Domestic Shorthair Mix,Blue/White,Intact Male,Stray,Normal,33,30,3.5263605246161616
Cat,Domestic Medium Hair Mix,Calico,Spayed Female,Stray,Normal,6,2555,1.9459101490553132
Dog,Pit Bull Mix,Blue/White,Intact Female,Stray,Normal,12,730,2.5649493574615367
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Nursing,66,3,4.204692619390966
Dog,Labrador Retriever Mix,Black/White,Intact Female,Stray,Normal,18,365,2.9444389791664403
Cat,Domestic Shorthair Mix,Tortie,Spayed Female,Owner Surrender,Normal,90,1095,4.51085950651685
Dog,Cairn Terrier Mix,Tan/White,Intact Male,Stray,Normal,4,120,1.6094379124341003
Other,Dutch/Angora-Satin,Black/White,Intact Male,Owner Surrender,Normal,18,150,2.9444389791664403
Dog,Labrador Retriever Mix,Black,Neutered Male,Owner Surrender,Normal,20,730,3.044522437723423
Dog,Labrador Retriever Mix,Cream/White,Intact Female,Stray,Normal,278,300,5.631211781821365
Cat,Domestic Shorthair,Orange Tabby/White,Intact Male,Stray,Normal,4,120,1.6094379124341003
Dog,Labrador Retriever Mix,Brown,Intact Female,Stray,Injured,7,120,2.0794415416798357
Dog,Chihuahua Shorthair Mix,Brown/White,Intact Female,Stray,Normal,5,730,1.791759469228055
Cat,Domestic Shorthair Mix,Blue,Intact Male,Stray,Normal,4,90,1.6094379124341003
Dog,Labrador Retriever/Anatol Shepherd,Brown,Intact Female,Stray,Normal,5,30,1.791759469228055
Dog,Australian Cattle Dog Mix,Black/Blue Tick,Intact Female,Stray,Normal,7,1095,2.0794415416798357
Dog,Siberian Husky Mix,Black/Tan,Spayed Female,Stray,Normal,21,2555,3.091042453358316
Dog,Labrador Retriever Mix,Black,Intact Female,Stray,Normal,63,730,4.1588830833596715
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,39,30,3.6888794541139363
Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,72,28,4.290459441148391
Dog,Jack Russell Terrier Mix,White/Tan,Neutered Male,Owner Surrender,Normal,111,60,4.718498871295094
Dog,German Shepherd/Australian Cattle Dog,Black/Brown,Intact Female,Stray,Normal,22,1095,3.1354942159291497
Dog,German Shepherd/Australian Cattle Dog,Black/Brown,Intact Female,Stray,Normal,18,1095,2.9444389791664403
Dog,Australian Kelpie Mix,Black/Brown,Intact Female,Stray,Normal,48,730,3.8918202981106265
Dog,German Shepherd/Labrador Retriever,Tan/Black,Intact Male,Owner Surrender,Normal,4,30,1.6094379124341003
Dog,Presa Canario Mix,Blue Tiger/White,Neutered Male,Stray,Normal,8,1825,2.1972245773362196
Dog,Presa Canario Mix,Blue Tiger/White,Neutered Male,Stray,Normal,30,1825,3.4339872044851463
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,37,28,3.6375861597263857
Cat,Domestic Shorthair Mix,Seal Point/White,Intact Male,Stray,Normal,3,30,1.3862943611198906
Dog,Chesa Bay Retr Mix,Black,Intact Male,Stray,Normal,4,30,1.6094379124341003
Dog,Labrador Retriever Mix,Black/White,Intact Female,Stray,Normal,5,365,1.791759469228055
Dog,Australian Kelpie Mix,Tan,Intact Female,Owner Surrender,Normal,4,365,1.6094379124341003
Dog,Cairn Terrier Mix,Black,Intact Female,Stray,Sick,10,60,2.3978952727983707
Dog,American Bulldog Mix,Black/White,Neutered Male,Owner Surrender,Normal,97,730,4.584967478670572
Dog,Papillon Mix,Black/White,Intact Male,Stray,Normal,4,730,1.6094379124341003
Dog,Labrador Retriever Mix,Tan/Brown,Intact Male,Stray,Normal,4,30,1.6094379124341003
Dog,Chihuahua Shorthair Mix,Tan/White,Neutered Male,Stray,Normal,45,2555,3.828641396489095
Dog,Pointer Mix,Blue/White,Neutered Male,Stray,Normal,4,365,1.6094379124341003
Dog,Catahoula Mix,Blue Merle,Spayed Female,Owner Surrender,Normal,2,730,1.0986122886681098
Dog,Labrador Retriever Mix,Yellow,Spayed Female,Owner Surrender,Normal,24,2190,3.2188758248682006
Dog,American Pit Bull Terrier Mix,Brown Brindle/White,Intact Male,Owner Surrender,Normal,228,730,5.43372200355424
Dog,Chihuahua Longhair Mix,Brown/Black,Intact Female,Owner Surrender,Normal,2,1460,1.0986122886681098
Dog,Labrador Retriever/Australian Cattle Dog,Brown/White,Intact Female,Stray,Normal,63,150,4.1588830833596715
Dog,Labrador Retriever Mix,Red,Intact Male,Stray,Normal,34,365,3.5553480614894135
Dog,German Shepherd Mix,Tan/Black,Intact Male,Stray,Normal,6,365,1.9459101490553132
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Owner Surrender,Normal,52,21,3.970291913552122
Cat,Domestic Shorthair,Blue,Intact Male,Stray,Normal,37,28,3.6375861597263857
Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Normal,4,60,1.6094379124341003
Dog,American Staffordshire Terrier Mix,Brown Brindle/White,Spayed Female,Owner Surrender,Normal,16,730,2.833213344056216
Cat,Domestic Longhair Mix,Tortie,Intact Female,Stray,Normal,17,30,2.8903717578961645
Dog,Australian Cattle Dog/Beagle,Brown,Intact Female,Stray,Normal,30,730,3.4339872044851463
Dog,Siberian Husky Mix,White,Neutered Male,Owner Surrender,Normal,3,150,1.3862943611198906
Dog,Yorkshire Terrier Mix,Black/Tan,Intact Female,Public Assist,Normal,13,1095,2.6390573296152584
Dog,Chihuahua Shorthair Mix,White/Brown,Spayed Female,Stray,Normal,5,730,1.791759469228055
Cat,Domestic Shorthair Mix,White,Spayed Female,Public Assist,Normal,31,3650,3.4657359027997265
Cat,Domestic Shorthair Mix,Blue Tabby/White,Intact Male,Stray,Normal,34,30,3.5553480614894135
Dog,Tibetan Spaniel/Chihuahua Longhair,Tan,Neutered Male,Owner Surrender,Normal,3,1460,1.3862943611198906
Dog,Pit Bull Mix,White/Black,Intact Female,Stray,Normal,45,1095,3.828641396489095
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Normal,5,150,1.791759469228055
Dog,Rottweiler Mix,Black/Brown,Intact Male,Public Assist,Normal,40,1095,3.713572066704308
Dog,Miniature Schnauzer Mix,Black,Intact Male,Owner Surrender,Normal,11,30,2.4849066497880004
Dog,Australian Shepherd Mix,White/Brown,Neutered Male,Stray,Normal,247,730,5.5134287461649825
Dog,Miniature Poodle Mix,White,Intact Female,Stray,Normal,5,1460,1.791759469228055
Dog,Chihuahua Shorthair Mix,Brown,Intact Female,Stray,Normal,6,730,1.9459101490553132
Dog,Pit Bull Mix,White/Brown,Intact Female,Owner Surrender,Normal,161,365,5.087596335232384
Dog,Pit Bull Mix,Fawn,Intact Female,Public Assist,Normal,129,365,4.867534450455582
Dog,Labrador Retriever/German Shepherd,Chocolate,Intact Male,Owner Surrender,Normal,2,30,1.0986122886681098
Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Normal,27,30,3.332204510175204
Cat,Domestic Shorthair Mix,Cream Tabby,Intact Male,Stray,Normal,7,120,2.0794415416798357
Dog,German Shepherd Mix,Sable,Spayed Female,Owner Surrender,Normal,9,1460,2.302585092994046
Dog,German Shepherd Mix,Sable,Spayed Female,Owner Surrender,Normal,17,1460,2.8903717578961645
Dog,Rottweiler/Siberian Husky,Black/Tricolor,Intact Male,Stray,Normal,68,730,4.23410650459726
Dog,German Shepherd Mix,Brown/Black,Neutered Male,Owner Surrender,Normal,69,1095,4.248495242049359
Dog,German Shepherd Mix,Brown/Black,Neutered Male,Owner Surrender,Normal,56,1095,4.04305126783455
Dog,German Shepherd Mix,Black/Tan,Intact Female,Stray,Normal,10,365,2.3978952727983707
Dog,Pit Bull Mix,Black/White,Intact Male,Stray,Normal,31,28,3.4657359027997265
Dog,Chihuahua Shorthair,Tan,Neutered Male,Owner Surrender,Normal,83,2555,4.430816798843313
Dog,Chihuahua Shorthair Mix,Brown,Intact Female,Stray,Normal,6,1095,1.9459101490553132
Cat,Domestic Shorthair Mix,Black,Intact Male,Owner Surrender,Normal,59,365,4.0943445622221
Cat,Domestic Shorthair Mix,Black,Intact Male,Owner Surrender,Normal,37,365,3.6375861597263857
Dog,Toy Poodle,Apricot,Neutered Male,Owner Surrender,Normal,178,3285,5.187385805840755
Dog,Toy Poodle,Apricot,Neutered Male,Owner Surrender,Normal,15,3285,2.772588722239781
Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Female,Stray,Normal,54,28,4.007333185232471
Dog,Chihuahua Shorthair Mix,Black/White,Neutered Male,Owner Surrender,Normal,1,4745,0.6931471805599453
Cat,Domestic Shorthair Mix,Calico,Intact Female,Stray,Normal,60,0,4.110873864173311
