AnimalType,Color,Sex,IntakeType,IntakeCondition,TimeInShelterDays,AgeInDays,TimeInShelterDays_log,AgeGroup,breed_type,Breed_grouped,Color_grouped
Cat,Brown Tabby,Intact Male,Stray,Normal,52,30,3.970291913552122,Cachorro (<6m),purebred,Domestic Longhair Mix,Monocolor
Cat,White/Blue,Intact Female,Owner Surrender,Normal,2,365,1.0986122886681098,Joven (6m-1a),mix,Other,Bicolor
Cat,White/Black,Spayed Female,Owner Surrender,Normal,25,365,3.258096538021482,Joven (6m-1a),purebred,Domestic Shorthair Mix,Bicolor
Cat,Torbie,Intact Female,Owner Surrender,Normal,26,90,3.295836866004329,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Brown/Black,Spayed Female,Owner Surrender,Normal,3,2555,1.3862943611198906,Adulto (3-7a),purebred,German Shepherd,Bicolor
Dog,Brown/Black,Spayed Female,Owner Surrender,Normal,33,2555,3.5263605246161616,Adulto (3-7a),purebred,German Shepherd,Bicolor
Dog,Black/Brown Brindle,Neutered Male,Stray,Normal,6,365,1.9459101490553128,Joven (6m-1a),purebred,Other,Bicolor
Cat,Brown Tabby,Intact Male,Owner Surrender,Normal,319,365,5.768320995793772,Joven (6m-1a),purebred,Domestic Shorthair,Monocolor
Cat,Blue Tabby,Spayed Female,Stray,Normal,6,60,1.9459101490553128,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Black/White,Spayed Female,Owner Surrender,Normal,19,365,2.995732273553991,Joven (6m-1a),mix,Other,Bicolor
Dog,Yellow,Intact Female,Stray,Normal,18,365,2.9444389791664403,Joven (6m-1a),mix,Labrador Retriever Mix,Monocolor
Dog,Yellow,Intact Female,Stray,Normal,31,365,3.4657359027997265,Joven (6m-1a),mix,Labrador Retriever Mix,Monocolor
Cat,Black,Intact Male,Stray,Normal,40,28,3.713572066704308,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,White,Intact Male,Stray,Normal,8,1095,2.19722457733622,Adulto joven (1-3a),mix,Other,Monocolor
Dog,Black/Tan,Neutered Male,Stray,Injured,52,730,3.970291913552122,Adulto joven (1-3a),mix,German Shepherd Mix,Bicolor
Dog,Black/Brown,Intact Male,Stray,Normal,259,120,5.560681631015528,Cachorro (<6m),purebred,Other,Bicolor
Dog,Black/Brown,Intact Male,Stray,Normal,218,120,5.389071729816501,Cachorro (<6m),purebred,Other,Bicolor
Dog,Black/Brown,Intact Male,Stray,Normal,6,120,1.9459101490553128,Cachorro (<6m),purebred,Other,Bicolor
Dog,Blue/White,Neutered Male,Stray,Normal,64,730,4.174387269895637,Adulto joven (1-3a),mix,Pit Bull Mix,Bicolor
Dog,White/Brown,Intact Female,Owner Surrender,Normal,30,180,3.4339872044851463,Cachorro (<6m),mix,Other,Bicolor
Cat,Cream/White,Intact Male,Stray,Normal,22,30,3.1354942159291497,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Black/Tan,Intact Female,Owner Surrender,Normal,4,30,1.6094379124341005,Cachorro (<6m),mix,Other,Bicolor
Cat,Brown Tabby/White,Intact Male,Owner Surrender,Normal,29,30,3.4011973816621555,Cachorro (<6m),purebred,Domestic Medium Hair,Bicolor
Dog,White/Cream,Spayed Female,Public Assist,Normal,13,730,2.6390573296152584,Adulto joven (1-3a),mix,Chihuahua Shorthair Mix,Bicolor
Cat,Brown Tabby/White,Intact Male,Stray,Normal,22,30,3.1354942159291497,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Cat,Brown Tabby/White,Intact Male,Stray,Normal,35,30,3.58351893845611,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Tricolor,Spayed Female,Stray,Normal,181,210,5.204006687076795,Joven (6m-1a),purebred,Other,Tricolor
Cat,Brown Tabby,Intact Male,Stray,Normal,64,21,4.174387269895637,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,Orange Tabby/White,Intact Male,Stray,Normal,4,60,1.6094379124341005,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Brown Tiger/White,Intact Female,Stray,Normal,227,1095,5.429345628954441,Adulto joven (1-3a),mix,Labrador Retriever Mix,Bicolor
Dog,Black,Intact Female,Stray,Normal,15,30,2.772588722239781,Cachorro (<6m),mix,Chihuahua Shorthair Mix,Monocolor
Dog,Blue/White,Spayed Female,Owner Surrender,Normal,11,730,2.4849066497880004,Adulto joven (1-3a),purebred,Other,Bicolor
Dog,Blue/White,Spayed Female,Owner Surrender,Normal,80,730,4.394449154672439,Adulto joven (1-3a),purebred,Other,Bicolor
Dog,Black,Intact Female,Stray,Normal,4,30,1.6094379124341005,Cachorro (<6m),mix,Labrador Retriever Mix,Monocolor
Cat,Black/White,Intact Female,Stray,Normal,42,21,3.7612001156935615,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Cat,Black,Intact Male,Stray,Normal,157,28,5.062595033026967,Cachorro (<6m),purebred,Domestic Shorthair,Monocolor
Dog,Brown/Black,Neutered Male,Owner Surrender,Normal,4,730,1.6094379124341005,Adulto joven (1-3a),purebred,Other,Bicolor
Dog,Chocolate/White,Intact Male,Stray,Normal,5,365,1.791759469228055,Joven (6m-1a),mix,Other,Bicolor
Cat,Torbie,Spayed Female,Owner Surrender,Normal,20,1825,3.044522437723423,Adulto (3-7a),purebred,Domestic Shorthair Mix,Monocolor
Dog,Tan/White,Intact Male,Stray,Normal,4,60,1.6094379124341005,Cachorro (<6m),mix,Labrador Retriever Mix,Bicolor
Dog,Tan/White,Intact Male,Stray,Normal,4,240,1.6094379124341005,Joven (6m-1a),purebred,Other,Bicolor
Cat,Orange Tabby/White,Neutered Male,Stray,Normal,4,2920,1.6094379124341005,Senior (>7a),purebred,Domestic Shorthair Mix,Bicolor
Cat,Blue,Intact Female,Owner Surrender,Sick,16,60,2.833213344056216,Cachorro (<6m),purebred,Domestic Shorthair,Monocolor
Dog,Buff/White,Intact Male,Stray,Normal,8,730,2.19722457733622,Adulto joven (1-3a),mix,Other,Bicolor
Dog,Black/White,Neutered Male,Owner Surrender,Normal,112,1460,4.727387818712341,Adulto (3-7a),mix,Labrador Retriever Mix,Bicolor
Cat,Black,Intact Female,Stray,Normal,47,28,3.871201010907891,Cachorro (<6m),purebred,Domestic Medium Hair Mix,Monocolor
Dog,Brown,Intact Male,Stray,Normal,6,365,1.9459101490553128,Joven (6m-1a),mix,Labrador Retriever Mix,Monocolor
Dog,White/Brown,Intact Female,Stray,Injured,68,2190,4.23410650459726,Adulto (3-7a),purebred,Other,Bicolor
Dog,White/Brown,Intact Female,Stray,Injured,84,2190,4.442651256490317,Adulto (3-7a),purebred,Other,Bicolor
Dog,Blue/White,Spayed Female,Owner Surrender,Normal,177,1460,5.181783550292085,Adulto (3-7a),mix,Other,Bicolor
Cat,Black/White,Intact Male,Stray,Normal,6,30,1.9459101490553128,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Black/Brown,Intact Male,Stray,Normal,4,120,1.6094379124341005,Cachorro (<6m),mix,German Shepherd Mix,Bicolor
Dog,Tricolor,Spayed Female,Stray,Normal,4,1825,1.6094379124341005,Adulto (3-7a),mix,Dachshund Mix,Tricolor
Dog,Tricolor,Intact Female,Owner Surrender,Normal,4,730,1.6094379124341005,Adulto joven (1-3a),mix,German Shepherd Mix,Tricolor
Cat,Brown Tabby,Intact Female,Stray,Normal,15,30,2.772588722239781,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,Blue,Intact Female,Stray,Normal,44,28,3.80666248977032,Cachorro (<6m),purebred,Other,Monocolor
Dog,White,Spayed Female,Owner Surrender,Normal,1,365,0.6931471805599453,Joven (6m-1a),mix,Other,Monocolor
Cat,Brown Tabby/White,Neutered Male,Owner Surrender,Normal,16,2920,2.833213344056216,Senior (>7a),purebred,Domestic Shorthair Mix,Bicolor
Cat,Black/White,Intact Male,Owner Surrender,Normal,1,60,0.6931471805599453,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Black/Tan,Intact Female,Owner Surrender,Normal,87,2190,4.477336814478207,Adulto (3-7a),mix,German Shepherd Mix,Bicolor
Cat,Black,Intact Male,Stray,Normal,6,60,1.9459101490553128,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Black/White,Intact Female,Stray,Normal,6,180,1.9459101490553128,Cachorro (<6m),purebred,Other,Bicolor
Cat,Black/White,Neutered Male,Stray,Normal,148,30,5.003946305945459,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,White/Black,Intact Female,Stray,Normal,9,1095,2.302585092994046,Adulto joven (1-3a),mix,Other,Bicolor
Cat,Brown Tabby,Intact Male,Stray,Nursing,59,28,4.0943445622221,Cachorro (<6m),purebred,Domestic Shorthair,Monocolor
Dog,White/Tan,Intact Male,Owner Surrender,Normal,14,1095,2.70805020110221,Adulto joven (1-3a),purebred,Other,Bicolor
Cat,Blue Tabby,Intact Female,Stray,Normal,133,21,4.897839799950911,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,Blue/White,Intact Male,Owner Surrender,Normal,50,365,3.9318256327243257,Joven (6m-1a),purebred,Domestic Medium Hair Mix,Bicolor
Cat,Lynx Point,Intact Female,Stray,Normal,61,14,4.127134385045092,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,White/Brown,Intact Male,Stray,Normal,4,60,1.6094379124341005,Cachorro (<6m),mix,Labrador Retriever Mix,Bicolor
Dog,Brown/White,Intact Female,Stray,Normal,36,30,3.610917912644224,Cachorro (<6m),mix,Labrador Retriever Mix,Bicolor
Cat,Black,Intact Female,Stray,Normal,31,30,3.4657359027997265,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Blue Merle,Intact Male,Stray,Normal,7,730,2.079441541679836,Adulto joven (1-3a),purebred,Other,Monocolor
Dog,Brown Brindle,Intact Male,Owner Surrender,Normal,2,365,1.0986122886681098,Joven (6m-1a),mix,Chihuahua Shorthair Mix,Monocolor
Dog,Black/White,Spayed Female,Owner Surrender,Normal,7,730,2.079441541679836,Adulto joven (1-3a),mix,Labrador Retriever Mix,Bicolor
Cat,Brown Tabby/White,Intact Female,Stray,Normal,105,60,4.663439094112067,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Brown/White,Spayed Female,Stray,Normal,40,730,3.713572066704308,Adulto joven (1-3a),mix,Pit Bull Mix,Bicolor
Cat,Brown Tabby/White,Intact Female,Stray,Normal,30,30,3.4339872044851463,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Black/Tan,Spayed Female,Stray,Normal,18,1825,2.9444389791664403,Adulto (3-7a),purebred,Other,Bicolor
Dog,Red/White,Neutered Male,Owner Surrender,Normal,18,730,2.9444389791664403,Adulto joven (1-3a),mix,Australian Shepherd Mix,Bicolor
Dog,Red/White,Neutered Male,Owner Surrender,Normal,2,730,1.0986122886681098,Adulto joven (1-3a),mix,Australian Shepherd Mix,Bicolor
Dog,Red/White,Neutered Male,Owner Surrender,Normal,8,730,2.19722457733622,Adulto joven (1-3a),mix,Australian Shepherd Mix,Bicolor
Cat,Brown Tabby,Spayed Female,Stray,Injured,45,365,3.828641396489095,Joven (6m-1a),purebred,Domestic Shorthair Mix,Monocolor
Dog,Red/White,Intact Female,Stray,Normal,9,365,2.302585092994046,Joven (6m-1a),mix,Chihuahua Shorthair Mix,Bicolor
Cat,Black,Intact Female,Public Assist,Sick,28,150,3.367295829986474,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,White/Brown Brindle,Intact Female,Stray,Normal,51,90,3.951243718581428,Cachorro (<6m),mix,Pit Bull Mix,Bicolor
Cat,Black,Intact Male,Stray,Normal,48,30,3.8918202981106265,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Red/White,Neutered Male,Stray,Normal,10,330,2.3978952727983707,Joven (6m-1a),purebred,Other,Bicolor
Dog,White/Black,Intact Male,Stray,Normal,39,240,3.688879454113936,Joven (6m-1a),purebred,Other,Bicolor
Dog,White/Black,Intact Male,Stray,Normal,16,240,2.833213344056216,Joven (6m-1a),purebred,Other,Bicolor
Dog,Black/Brown,Intact Female,Stray,Normal,42,365,3.7612001156935615,Joven (6m-1a),purebred,Other,Bicolor
Cat,Black,Intact Male,Stray,Normal,43,30,3.784189633918261,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,White/Tan,Intact Male,Stray,Normal,120,730,4.795790545596741,Adulto joven (1-3a),mix,Other,Bicolor
Cat,Black/White,Intact Female,Stray,Nursing,39,28,3.688879454113936,Cachorro (<6m),purebred,Domestic Shorthair,Bicolor
Dog,Black/White,Intact Female,Stray,Normal,15,730,2.772588722239781,Adulto joven (1-3a),mix,Other,Bicolor
Dog,Black/Tan,Spayed Female,Owner Surrender,Normal,4,2190,1.6094379124341005,Adulto (3-7a),mix,German Shepherd Mix,Bicolor
Dog,White/Black,Intact Male,Stray,Normal,4,240,1.6094379124341005,Joven (6m-1a),purebred,Other,Bicolor
Cat,Calico/White,Intact Female,Owner Surrender,Normal,13,365,2.6390573296152584,Joven (6m-1a),purebred,Domestic Shorthair,Bicolor
Cat,Black,Spayed Female,Stray,Normal,83,730,4.430816798843313,Adulto joven (1-3a),purebred,Domestic Shorthair Mix,Monocolor
Dog,Tricolor,Spayed Female,Public Assist,Aged,274,2920,5.616771097666572,Senior (>7a),mix,Beagle Mix,Tricolor
Cat,Black,Neutered Male,Stray,Normal,36,90,3.610917912644224,Cachorro (<6m),purebred,Domestic Shorthair,Monocolor
Dog,Black Brindle/White,Intact Male,Stray,Normal,5,365,1.791759469228055,Joven (6m-1a),purebred,Other,Bicolor
Dog,Red/White,Intact Male,Stray,Normal,6,210,1.9459101490553128,Joven (6m-1a),mix,Pit Bull Mix,Bicolor
Cat,Blue/White,Intact Male,Stray,Normal,9,30,2.302585092994046,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Black/Black,Intact Female,Stray,Normal,70,730,4.262679877041316,Adulto joven (1-3a),mix,Labrador Retriever Mix,Bicolor
Cat,Blue/White,Intact Female,Stray,Normal,4,180,1.6094379124341005,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Cat,Cream Tabby,Intact Male,Stray,Normal,3,30,1.3862943611198906,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Black/White,Intact Male,Stray,Normal,6,60,1.9459101490553128,Cachorro (<6m),mix,Border Collie Mix,Bicolor
Cat,Lynx Point,Intact Female,Stray,Normal,84,21,4.442651256490317,Cachorro (<6m),mix,Siamese Mix,Monocolor
Cat,Black,Intact Female,Owner Surrender,Normal,2,60,1.0986122886681098,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,Black/White,Intact Male,Stray,Normal,26,30,3.295836866004329,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Red/Black,Intact Male,Stray,Normal,4,150,1.6094379124341005,Cachorro (<6m),purebred,Other,Bicolor
Dog,Brown/White,Intact Female,Owner Surrender,Nursing,34,21,3.555348061489413,Cachorro (<6m),mix,Labrador Retriever Mix,Bicolor
Dog,Brown/White,Neutered Male,Owner Surrender,Normal,15,365,2.772588722239781,Joven (6m-1a),mix,Labrador Retriever Mix,Bicolor
Dog,Buff,Intact Male,Stray,Normal,72,0,4.290459441148391,Cachorro (<6m),mix,Other,Bicolor
Cat,Brown Tabby,Intact Male,Stray,Normal,57,30,4.060443010546419,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,Orange Tabby,Intact Female,Stray,Normal,164,30,5.10594547390058,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,Orange Tabby,Intact Female,Stray,Normal,24,30,3.218875824868201,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Black,Intact Female,Public Assist,Normal,4,60,1.6094379124341005,Cachorro (<6m),mix,Labrador Retriever Mix,Monocolor
Cat,Calico,Intact Female,Stray,Normal,138,60,4.934473933130692,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Red,Intact Male,Stray,Normal,32,150,3.49650756146648,Cachorro (<6m),mix,Other,Monocolor
Dog,White/Black,Intact Male,Stray,Normal,4,30,1.6094379124341005,Cachorro (<6m),mix,Border Collie Mix,Monocolor
Dog,Red/White,Intact Male,Stray,Normal,4,120,1.6094379124341005,Cachorro (<6m),purebred,Other,Bicolor
Cat,Black/White,Intact Male,Stray,Normal,4,90,1.6094379124341005,Cachorro (<6m),mix,Other,Bicolor
Dog,Black/White,Intact Male,Stray,Normal,148,210,5.003946305945459,Joven (6m-1a),mix,Border Collie Mix,Bicolor
Dog,Black/White,Intact Male,Stray,Normal,96,210,4.574710978503383,Joven (6m-1a),mix,Border Collie Mix,Bicolor
Dog,Chocolate,Intact Male,Stray,Normal,183,730,5.214935757608986,Adulto joven (1-3a),mix,Pit Bull Mix,Bicolor
Dog,Brown,Intact Male,Stray,Normal,4,60,1.6094379124341005,Cachorro (<6m),purebred,Other,Monocolor
Cat,Blue Tabby,Intact Male,Stray,Normal,26,30,3.295836866004329,Cachorro (<6m),purebred,Domestic Shorthair,Monocolor
Cat,Tortie,Intact Female,Owner Surrender,Normal,30,730,3.4339872044851463,Adulto joven (1-3a),purebred,Domestic Shorthair Mix,Monocolor
Dog,White/Tan,Spayed Female,Public Assist,Normal,47,1825,3.871201010907891,Adulto (3-7a),mix,Labrador Retriever Mix,Monocolor
Cat,Brown Tabby/White,Intact Female,Stray,Normal,7,60,2.079441541679836,Cachorro (<6m),purebred,Domestic Medium Hair Mix,Bicolor
Dog,Black/White,Intact Female,Stray,Normal,4,30,1.6094379124341005,Cachorro (<6m),mix,Labrador Retriever Mix,Bicolor
Cat,Brown Tabby,Spayed Female,Owner Surrender,Normal,224,1460,5.41610040220442,Adulto (3-7a),purebred,Domestic Shorthair Mix,Bicolor
Dog,Black,Spayed Female,Stray,Normal,58,3285,4.07753744390572,Senior (>7a),mix,Labrador Retriever Mix,Monocolor
Dog,Tan,Intact Female,Stray,Normal,6,1460,1.9459101490553128,Adulto (3-7a),mix,Chihuahua Shorthair Mix,Monocolor
Dog,White,Intact Male,Stray,Normal,6,365,1.9459101490553128,Joven (6m-1a),mix,Labrador Retriever Mix,Monocolor
Dog,Brown/White,Intact Female,Stray,Normal,6,365,1.9459101490553128,Joven (6m-1a),purebred,Other,Monocolor
Cat,Orange Tabby,Intact Male,Stray,Normal,5,30,1.791759469228055,Cachorro (<6m),purebred,Domestic Medium Hair Mix,Bicolor
Cat,Black Tabby,Intact Male,Stray,Normal,27,30,3.332204510175204,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,White/Black,Intact Female,Stray,Normal,80,21,4.394449154672439,Cachorro (<6m),purebred,Domestic Shorthair,Monocolor
Dog,Tan/Black,Intact Female,Stray,Normal,6,365,1.9459101490553128,Joven (6m-1a),purebred,Other,Bicolor
Cat,Tortie,Intact Female,Owner Surrender,Normal,24,30,3.218875824868201,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Cat,Black Smoke,Intact Female,Stray,Normal,8,30,2.19722457733622,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Black/White,Spayed Female,Stray,Normal,21,1825,3.091042453358316,Adulto (3-7a),mix,Labrador Retriever Mix,Monocolor
Dog,Black/Brown,Intact Female,Stray,Normal,5,365,1.791759469228055,Joven (6m-1a),purebred,Other,Bicolor
Dog,Gold/White,Intact Male,Stray,Normal,7,365,2.079441541679836,Joven (6m-1a),mix,Border Collie Mix,Bicolor
Dog,Cream/Brown,Intact Male,Stray,Normal,5,730,1.791759469228055,Adulto joven (1-3a),purebred,Other,Bicolor
Cat,Brown Tabby,Intact Male,Stray,Injured,50,60,3.9318256327243257,Cachorro (<6m),purebred,Domestic Shorthair,Bicolor
Cat,Brown Tabby,Intact Male,Stray,Injured,217,60,5.384495062789089,Cachorro (<6m),purebred,Domestic Shorthair,Monocolor
Dog,Gray/White,Neutered Male,Stray,Normal,6,730,1.9459101490553128,Adulto joven (1-3a),mix,Siberian Husky Mix,Monocolor
Dog,White/Brown,Intact Male,Stray,Normal,30,365,3.4339872044851463,Joven (6m-1a),mix,Pit Bull Mix,Bicolor
Dog,Tan/White,Neutered Male,Owner Surrender,Normal,1,300,0.6931471805599453,Joven (6m-1a),mix,Other,Bicolor
Dog,Brown/White,Spayed Female,Owner Surrender,Normal,1,730,0.6931471805599453,Adulto joven (1-3a),mix,Other,Bicolor
Dog,Red Tick,Intact Male,Stray,Normal,5,90,1.791759469228055,Cachorro (<6m),purebred,Other,Bicolor
Dog,Tan/White,Neutered Male,Owner Surrender,Normal,5,365,1.791759469228055,Joven (6m-1a),mix,Catahoula Mix,Monocolor
Dog,Black/White,Intact Female,Stray,Normal,3,30,1.3862943611198906,Cachorro (<6m),mix,Labrador Retriever Mix,Bicolor
Dog,Black,Neutered Male,Stray,Normal,5,730,1.791759469228055,Adulto joven (1-3a),mix,Labrador Retriever Mix,Bicolor
Dog,Black,Neutered Male,Stray,Normal,164,730,5.10594547390058,Adulto joven (1-3a),mix,Labrador Retriever Mix,Monocolor
Dog,White/Tan,Intact Male,Stray,Normal,4,30,1.6094379124341005,Cachorro (<6m),purebred,Other,Monocolor
Dog,Tricolor/White,Spayed Female,Owner Surrender,Normal,9,2190,2.302585092994046,Adulto (3-7a),mix,Catahoula Mix,Bicolor
Dog,Yellow,Intact Female,Stray,Normal,7,365,2.079441541679836,Joven (6m-1a),mix,Other,Tricolor
Cat,White/Black,Spayed Female,Owner Surrender,Normal,6,2555,1.9459101490553128,Adulto (3-7a),purebred,Domestic Shorthair Mix,Monocolor
Dog,White/Black,Spayed Female,Owner Surrender,Normal,30,4015,3.4339872044851463,Senior (>7a),purebred,Other,Bicolor
Dog,White/Black,Spayed Female,Owner Surrender,Normal,45,4015,3.828641396489095,Senior (>7a),purebred,Other,Bicolor
Dog,White/Black,Spayed Female,Owner Surrender,Normal,23,4015,3.1780538303479458,Senior (>7a),purebred,Other,Bicolor
Cat,Black Smoke/White,Spayed Female,Stray,Normal,42,270,3.7612001156935615,Joven (6m-1a),purebred,Domestic Shorthair Mix,Bicolor
Dog,Brown Brindle,Intact Female,Stray,Normal,4,60,1.6094379124341005,Cachorro (<6m),purebred,Pit Bull,Bicolor
Cat,Blue/White,Intact Male,Stray,Normal,33,30,3.5263605246161616,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,Calico,Spayed Female,Stray,Normal,6,2555,1.9459101490553128,Adulto (3-7a),purebred,Domestic Medium Hair Mix,Bicolor
Dog,Blue/White,Intact Female,Stray,Normal,12,730,2.5649493574615367,Adulto joven (1-3a),mix,Pit Bull Mix,Monocolor
Cat,Brown Tabby,Intact Male,Stray,Nursing,66,3,4.204692619390966,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Black/White,Intact Female,Stray,Normal,18,365,2.9444389791664403,Joven (6m-1a),mix,Labrador Retriever Mix,Monocolor
Cat,Tortie,Spayed Female,Owner Surrender,Normal,90,1095,4.51085950651685,Adulto joven (1-3a),purebred,Domestic Shorthair Mix,Bicolor
Dog,Tan/White,Intact Male,Stray,Normal,4,120,1.6094379124341005,Cachorro (<6m),mix,Other,Monocolor
Dog,Black,Neutered Male,Owner Surrender,Normal,20,730,3.044522437723423,Adulto joven (1-3a),mix,Labrador Retriever Mix,Bicolor
Dog,Cream/White,Intact Female,Stray,Normal,278,300,5.631211781821365,Joven (6m-1a),mix,Labrador Retriever Mix,Bicolor
Cat,Orange Tabby/White,Intact Male,Stray,Normal,4,120,1.6094379124341005,Cachorro (<6m),purebred,Domestic Shorthair,Monocolor
Dog,Brown,Intact Female,Stray,Injured,7,120,2.079441541679836,Cachorro (<6m),mix,Labrador Retriever Mix,Bicolor
Dog,Brown/White,Intact Female,Stray,Normal,5,730,1.791759469228055,Adulto joven (1-3a),mix,Chihuahua Shorthair Mix,Bicolor
Cat,Blue,Intact Male,Stray,Normal,4,90,1.6094379124341005,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Brown,Intact Female,Stray,Normal,5,30,1.791759469228055,Cachorro (<6m),purebred,Other,Bicolor
Dog,Black/Blue Tick,Intact Female,Stray,Normal,7,1095,2.079441541679836,Adulto joven (1-3a),mix,Australian Cattle Dog Mix,Monocolor
Dog,Black/Tan,Spayed Female,Stray,Normal,21,2555,3.091042453358316,Adulto (3-7a),mix,Siberian Husky Mix,Monocolor
Dog,Black,Intact Female,Stray,Normal,63,730,4.158883083359672,Adulto joven (1-3a),mix,Labrador Retriever Mix,Bicolor
Cat,Brown Tabby,Intact Female,Stray,Normal,39,30,3.688879454113936,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
